REFSEQ	SYMBOL
NM_019119	PCDHB9
NM_001318494	TRAPPC4
NM_014305	TGDS
NM_145753	PHLDB2
NM_014637	MTFR1
NM_001270428	LMO1
NM_002365	MAGEB3
NM_001170766	LCOR
NM_001134775	KLC2
NM_001128845	SMARCA4
NM_001290343	CERS3
NM_001178140	TFDP2
NM_001171606	PREPL
NM_015387	MOB4
NM_022822	KLC2
NM_003818	CDS2
NM_001142478	NREP
NM_001142435	CRISP2
NM_001002296	GOLGA7
NM_016020	TFB1M
NM_001270486	CAMKK2
NM_138554	TLR4
NM_001321987	ENTPD5
NM_001323001	KALRN
NM_001320598	CEP70
NM_000885	ITGA4
NM_001017395	TMCC1
NM_003387	WIPF1
NM_001128847	SMARCA4
NM_001039752	SLC22A10
NM_001040446	MTMR12
NM_015246	MGRN1
NM_001134774	KLC2
NM_148177	FBXO32
NM_000280	PAX6
NM_007217	PDCD10
NM_152277	UBTD2
NM_001276395	LDLRAD1
NM_152439	BEST3
NM_001243571	MTMR2
NM_000231	SGCG
NM_001289080	CNTN6
NM_001316345	RECK
NM_018416	FOXJ2
NM_001024593	MSS51
NM_007236	CHP1
NM_003178	SYN2
NM_001322438	HNRNPH3
NM_001256732	SSBP2
NM_001195577	TRPC5OS
NM_001277227	LGR5
NM_004993	ATXN3
NM_001304480	FGD4
NM_002591	PCK1
NM_033427	CTTNBP2
NM_004906	WTAP
NM_001321868	HDAC9
NM_001304504	HMG20A
NM_031372	HNRNPDL
NM_001136230	HSD17B13
NM_001199888	IL7
NM_001282805	MARCH7
NM_001289109	LONRF3
NM_033642	FGF13
NM_015472	WWTR1
NM_002745	MAPK1
NM_001290077	TEK
NM_153255	MCM9
NM_198389	PDPN
NM_001205028	MDM1
NM_001297434	INPP5B
NM_001322445	HNRNPH3
NM_004772	NREP
NM_138788	TMEM45B
NM_004713	NEMF
NM_001320853	ARHGEF7
NM_001174066	FGFR1
NM_001322988	KALRN
NM_017495	RBM38
NM_002717	PPP2R2A
NM_020425	SMIM8
NM_001308049	PRUNE2
NM_012104	BACE1
NM_013403	STRN4
NM_198152	UTS2B
NM_001278458	COBLL1
NM_001127645	GABRA1
NM_001303426	ZNF639
NM_170663	MINK1
NM_001080410	FBXO41
NM_001145370	PTPN3
NM_001082970	NKAPD1
NM_001135669	XPR1
NM_001242452	IRF5
NM_016275	SELENOT
NM_001142482	NREP
NM_001077692	ALG9
NM_001291739	CD24
NM_003948	CDKL2
NM_001278067	GRM1
NM_001324325	PAK3
NM_000091	COL4A3
NM_001286094	TMEM9B
NM_001206572	SORCS1
NM_000052	ATP7A
NM_014424	HSPB7
NM_002270	TNPO1
NM_001098629	IRF5
NM_024424	WT1
NM_001278460	COBLL1
NM_001136575	LANCL1
NM_199136	FAM221A
NM_001322994	KALRN
NM_001033561	PHF12
NM_020644	TMEM9B
NM_002942	ROBO2
NM_015716	MINK1
NM_001174064	FGFR1
NM_001271751	CALCRL
NM_001025780	ABHD17B
NM_198390	CMIP
NM_001128849	SMARCA4
NM_001128588	SLC14A1
NM_178517	PIGW
NM_206825	GNL3
NM_001168375	KIAA0319
NM_001318905	GLUD1
NM_001040118	ARAP1
NM_001001485	ATP2C1
NM_017410	HOXC13
NM_001079684	KIAA1191
NM_003783	B3GALT2
NM_001080425	BEX4
NM_001164774	ATXN3
NM_001124	ADM
NM_054035	UNC119
NM_005369	MCF2
NM_000378	WT1
NM_001111077	EZR
NM_021252	RAB18
NM_001323610	RBL2
NM_001256412	RAB18
NM_001324332	PAK3
NM_001142407	CRISP2
NM_001193509	TTC27
NM_004180	TANK
NM_012446	SSBP2
NM_001012414	TRIM61
NM_001184970	PACSIN2
NM_153500	CAMKK2
NM_001127698	SPINK5
NM_178135	HSD17B13
NM_001254736	NABP1
NM_001145208	DEPDC1B
NM_001321991	ZNF570
NM_001290325	USP38
NM_016156	MTMR2
NM_001136574	LANCL1
NM_001100912	BEND7
NM_198557	RBM43
NM_001308051	PRUNE2
NM_005795	CALCRL
NM_001098627	IRF5
NM_000139	MS4A2
NM_022130	GOLPH3
NM_001142476	NREP
NM_001256575	ENC1
NM_001271780	PSMD6
NM_024790	CSPP1
NM_001304495	TRIM35
NM_138972	BACE1
NM_153367	ZCCHC24
NM_001170460	CDK16
NM_016146	TRAPPC4
NM_017735	TTC27
NM_017923	MARCH1
NM_001040274	SYCP2L
NM_001005353	AK4
NM_198535	ZNF699
NM_006896	HOXA7
NM_024740	ALG9
NM_001322443	HNRNPH3
NM_032428	FRMPD3
NM_001042386	PREPL
NM_001146036	SLC14A1
NM_001320851	ARHGEF7
NM_171982	TRIM35
NM_020928	ZSWIM6
NM_015138	RTF1
NM_001321924	TRIP4
NM_001164782	ATXN3
NM_172059	EYA1
NM_015242	ARAP1
NM_001170692	CAGE1
NM_001302465	GGT5
NM_001134438	PHLDB2
NM_001313915	EIF2AK3
NM_001080481	USP45
NM_001291339	CSPP1
NM_001256916	MS4A2
NM_001282807	MARCH7
NM_001098630	IRF5
NM_003913	PRPF4B
NM_001207048	BACE1
NM_003870	IQGAP1
NM_001178085	ZFX
NM_006286	TFDP2
NM_001288575	EYA1
NM_194454	KRIT1
NM_001281836	GCSAML
NM_001270529	RNF111
NM_001256830	ASIC1
NM_001288582	TTC14
NM_001185127	VAMP4
NM_001127644	GABRA1
NM_001128167	PAK3
NM_172216	CAMKK2
NM_005342	HMGB3
NM_001162429	PDCD6IP
NM_001130710	LSM5
NM_001168377	KIAA0319
NM_054016	SRSF10
NM_007034	DNAJB4
NM_001206936	AGER
NM_001267042	ARMC8
NM_001317101	DNAJB4
NM_001322206	NRG1
NM_004170	SLC1A1
NM_007332	TRPA1
NM_001324327	PAK3
NM_001304505	HMG20A
NM_021926	ALX4
NM_001128172	PAK3
NM_001301038	BCLAF1
NM_001324330	PAK3
NM_013960	NRG1
NM_001104544	TMEM255A
NM_001244960	FRMD3
NM_001130032	ZNF562
NM_001139500	FGF13
NM_001135190	ARAP1
NM_001171877	MCF2
NM_001174124	GOLGA7
NM_001142290	MGRN1
NM_001322996	KALRN
NM_001143958	TMEM30A
NM_203464	AK4
NM_001256736	SSBP2
NM_005717	ARPC5
NM_003010	MAP2K4
NM_001013031	SORCS1
NM_001286115	THEMIS2
NM_001291737	CD24
NM_001077441	BCLAF1
NM_002556	OSBP
NM_033167	B3GALNT1
NM_201597	CACNB2
NM_001006625	PDPN
NM_025195	TRIB1
NM_023105	FGFR1
NM_001256536	PRMT8
NM_014631	SH3PXD2A
NM_198597	SEC24C
NM_005033	EXOSC9
NM_001134437	PHLDB2
NM_014739	BCLAF1
NM_001197319	CLEC2D
NM_017610	RNF111
NM_001323609	RBL2
NM_001034194	EXOSC9
NM_003856	IL1RL1
NM_001128166	PAK3
NM_001285878	CEBPB
NM_018051	WDR60
NM_032492	JAGN1
NM_001128224	TMCC1
NM_006846	SPINK5
NM_001139499	LSM5
NM_022650	RASA1
NM_152355	ZNF441
NM_001178142	TFDP2
NM_030660	ATXN3
NM_012207	HNRNPH3
NM_004120	GBP2
NM_001191005	SRSF10
NM_001127643	GABRA1
NM_001170798	SLC15A5
NM_014748	SNX17
NM_014900	COBLL1
NM_003338	UBE2D1
NM_001289999	NFIL3
NM_001127364	FAM221A
NM_004830	MED23
NM_001290342	CERS3
NM_014729	TOX
NM_001142483	NREP
NM_001286445	RIPOR2
NM_001127697	ATXN3
NM_002337	LRPAP1
NM_001142474	NREP
NM_001323000	KALRN
NM_001303416	ERCC3
NM_001039709	CBFA2T2
NM_000829	GRIA4
NM_005737	ARL4C
NM_001171990	SETD9
NM_005519	HMX2
NM_019004	ANKIB1
NM_001077442	HNRNPC
NM_001301231	HMGB3
NM_007313	ABL1
NM_001202469	NIPSNAP2
NM_001012419	ANKRD20A3
NM_001318489	TRAPPC4
NM_001304477	STXBP6
NM_001033047	NPNT
NM_001322448	HNRNPH3
NM_006811	SERINC3
NM_182685	EFNA1
NM_005578	LPP
NM_002504	NFX1
NM_005824	LRRC17
NM_001199135	TANK
NM_001195216	DENND1B
NM_001302269	EDN2
NM_001321986	ENTPD5
NM_004094	EIF2S1
NM_000530	MPZ
NM_201281	MTMR2
NM_001199886	IL7
NM_001042603	KDM5A
NM_004736	XPR1
NM_001304484	FGD4
NM_003368	USP1
NM_001256415	RAB18
NM_001318901	GLUD1
NM_199482	MOB4
NM_001168280	WWTR1
NM_021111	RECK
NM_001204880	UBE2D1
NM_001322442	HNRNPH3
NM_032643	IRF5
NM_001142289	MGRN1
NM_001290039	ROBO2
NM_001004301	ZNF813
NM_019854	PRMT8
NM_001322452	HNRNPH3
NM_001287445	SMIM8
NM_001164781	ATXN3
NM_001114	ADCY7
NM_001077269	WIPF1
NM_002637	PHKA1
NM_001267580	PRC1
NM_001171879	MCF2
NM_001010883	FAM102B
NM_001145368	PTPN3
NM_014461	CNTN6
NM_001139502	FGF13
NM_007195	POLI
NM_001042425	TFAP2A
NM_001281837	GCSAML
NM_024762	ZNF552
NM_032250	ANKRD20A1
NM_001322042	MCPH1
NM_201571	CACNB2
NM_001256735	SSBP2
NM_172226	CAMKK2
NM_001134363	RBM20
NM_001294343	MTMR12
NM_015322	FEM1B
NM_001077443	HNRNPC
NM_001317103	DNAJB4
NM_031314	HNRNPC
NM_001164778	ATXN3
NM_001291780	RBM38
NM_201590	CACNB2
NM_004922	SEC24C
NM_001324328	PAK3
NM_013410	AK4
NM_002315	LMO1
NM_001127688	BEX4
NM_203454	APOBEC4
NM_003410	ZFX
NM_001005786	DAZ2
NM_001308278	SLC14A1
NM_001167945	CACNB2
NM_033272	KCNH7
NM_005271	GLUD1
NM_001142772	PCDH15
NM_001267061	SNX17
NM_001142800	EYS
NM_002042	GABRR1
NM_001144883	PRICKLE1
NM_006248	PRB2
NM_017626	DNAJB12
NM_194456	KRIT1
NM_001322998	KALRN
NM_001146335	SLC6A15
NM_001174067	FGFR1
NM_003470	USP7
NM_001205228	SORT1
NM_004615	TSPAN7
NM_001197317	CLEC2D
NM_199413	PRC1
NM_001168374	KIAA0319
NM_001032280	TFAP2A
NM_032842	TMEM209
NM_001083899	GP6
NM_080876	DUSP19
NM_001204174	CHODL
NM_001170779	FAM122C
NM_001316327	PRKCD
NM_001303418	ERCC3
NM_001206954	AGER
NM_144694	ZNF570
NM_001002843	ZNF280D
NM_001145371	PTPN3
NM_005924	MEOX2
NM_000222	KIT
NM_001256574	ENC1
NM_138971	BACE1
NM_001171617	PREPL
NM_001300932	FAM221A
NM_001304476	STXBP6
NM_033481	FBXO9
NM_000265	NCF1
NM_032735	BEST3
NM_001322446	HNRNPH3
NM_173497	HECTD2
NM_021105	PLSCR1
NM_001178138	TFDP2
NM_198581	ZC3H6
NM_001287143	TPD52
NM_001301732	NEMF
NM_001992	F2R
NM_021644	HNRNPH3
NM_001289971	ZNF84
NM_001134776	KLC2
NM_001301021	NKAPD1
NM_139241	FGD4
NM_001286458	USP7
NM_001165418	SLC25A11
NM_001042459	FILIP1L
NM_001128846	SMARCA4
NM_001142479	NREP
NM_003391	WNT2
NM_001270530	RNF111
NM_001270485	CAMKK2
NM_001261822	CRISP2
NM_153026	PRICKLE1
NM_001322441	HNRNPH3
NM_001093772	KIT
NM_001144881	PRICKLE1
NM_001080432	FTO
NM_020872	CNTN3
NM_001267582	GABRR1
NM_003028	SHB
NM_001039877	STRN4
NM_015396	ARMC8
NM_001317342	C6orf120
NM_001321993	ZNF570
NM_001128848	SMARCA4
NM_014809	KIAA0319
NM_033018	CDK16
NM_020665	CLTRN
NM_006558	KHDRBS3
NM_001322450	HNRNPH3
NM_003266	TLR4
NM_001142480	NREP
NM_005552	KLC1
NM_001165923	HNF1B
NM_001164776	ATXN3
NM_001301163	TMEM209
NM_001256733	SSBP2
NM_201593	CACNB2
NM_000724	CACNB2
NM_144599	NIPA1
NM_006036	PREPL
NM_033169	B3GALNT1
NM_013238	DNAJC15
NM_001271187	RAP2C
NM_001297737	NSL1
NM_001282476	APPBP2
NM_199138	AMER2
NM_014366	GNL3
NM_003276	TMPO
NM_022048	CSNK1G1
NM_018195	NKAPD1
NM_001281435	MAP2K4
NM_001012421	ANKRD20A2
NM_001168278	WWTR1
NM_019102	HOXA5
NM_080677	DYNLL2
NM_001308048	PRUNE2
NM_018702	ADARB2
NM_001321307	NPAT
NM_001321859	RTN4
NM_018200	HMG20A
NM_001304284	USP6
NM_001944	DSG3
NM_153827	MINK1
NM_014939	TRAPPC8
NM_001956	EDN2
NM_001256	CDC27
NM_001198961	ECHDC2
NM_020363	DAZ2
NM_003428	ZNF84
NM_004836	EIF2AK3
NM_001077690	ALG9
NM_001167672	LPP
NM_001017526	ARHGAP8
NM_001095	ASIC1
NM_001099782	GGT5
NM_001102664	EPN2
NM_001301873	CCL28
NM_001301874	CCL28
NM_001282418	STAG2
NM_001042751	STAG2
NM_001098414	ZNF621
NM_001006656	ZNF473
NM_032242	PLXNA1
NM_001308424	ZNF473
NM_001042749	STAG2
NM_001042750	STAG2
NM_198484	ZNF621
NM_006603	STAG2
NM_015428	ZNF473
NM_001321978	PDSS1
NM_001033117	SRGAP3
NM_001001925	MTUS1
NM_001001931	MTUS1
NM_173824	C3orf38
NM_020749	MTUS1
NM_001166393	MTUS1
NM_001287000	ST6GALNAC6
NM_005249	FOXG1
NM_001178115	ZNF185
NM_002844	PTPRK
NM_001178110	ZNF185
NM_001007237	IGSF3
NM_001287002	ST6GALNAC6
NM_144650	ADHFE1
NM_001131055	HRH2
NM_001130161	STOX1
NM_175709	CBX7
NM_016073	HDGFL3
NM_001289861	PER3
NM_032228	FAR1
NM_001178113	ZNF185
NM_012133	COPG2
NM_001135648	PTPRK
NM_080645	COL12A1
NM_001178106	ZNF185
NM_013443	ST6GALNAC6
NM_001178107	ZNF185
NM_002148	HOXD10
NM_005538	INHBC
NM_001286999	ST6GALNAC6
NM_001291981	PTPRK
NM_000830	GRIK1
NM_001291984	PTPRK
NM_001287003	ST6GALNAC6
NM_032572	RNASE7
NM_000259	MYO5A
NM_001178108	ZNF185
NM_007150	ZNF185
NM_001178109	ZNF185
NM_001287001	ST6GALNAC6
NM_002489	NDUFA4
NM_001171020	PWWP3B
NM_032013	NDRG3
NM_001320596	DDX5
NM_001242778	IKBKB
NM_001278556	ARPC3
NM_001288733	TEX2
NM_012329	MMD
NM_001201363	HMGN3
NM_001839	CNN3
NM_001324385	HMBOX1
NM_001256870	POLD4
NM_133264	WIPF2
NM_001303494	CBX6
NM_145112	MAX
NM_001323289	CDKL5
NM_001278684	TGIF1
NM_001136196	TNPO2
NM_001145777	FKBP5
NM_198533	HSD11B1L
NM_001170722	TEX35
NM_001289132	CCDC32
NM_006243	PPP2R5A
NM_138375	CABLES1
NM_032985	SEC23B
NM_207418	FAM72D
NM_001033031	FAIM
NM_001077700	MIER1
NM_001003665	STUM
NM_001267570	CREM
NM_001145639	GPSM1
NM_001324387	HMBOX1
NM_001282538	GNB1
NM_001281293	ZNF281
NM_001010986	ATP11C
NM_212476	FN1
NM_005188	CBL
NM_001008744	TDP1
NM_015170	SULF1
NM_198467	RSBN1L
NM_002993	CXCL6
NM_001145160	TPM4
NM_001100910	FAM72B
NM_001100600	MMD2
NM_001399	EDA
NM_030816	ANKRD13C
NM_207454	C17orf102
NM_001100423	SPATS2L
NM_001142281	ARCN1
NM_001290214	CTBP2
NM_003271	TSPAN4
NM_006409	ARPC1A
NM_001302999	LIPI
NM_001202517	CFLAR
NM_005238	ETS1
NM_001166110	PALLD
NM_001286175	C2CD5
NM_000891	KCNJ2
NM_152630	TENT5D
NM_001279355	VPS45
NM_001142386	PDK3
NM_001321935	FGF14
NM_024015	HOXB4
NM_025080	ASRGL1
NM_001128206	SULF1
NM_002373	MAP1A
NM_001008220	CPLX2
NM_001025595	ARFIP1
NM_198705	HSD11B1L
NM_001321934	FGF14
NM_003867	FGF17
NM_001282973	SEPTIN2
NM_001012993	C9orf152
NM_001318203	VTI1A
NM_001200003	GPSM1
NM_001018136	NME1-NME2
NM_014649	SAFB2
NM_001168320	TSPAN9
NM_001098504	DDX17
NM_001109689	ZNF250
NM_004394	DAP
NM_003607	CDC42BPA
NM_001142930	API5
NM_001323579	IFT52
NM_001282903	TRPS1
NM_032506	KIAA1841
NM_001100422	SPATS2L
NM_001270880	GNPDA2
NM_001304333	PHF24
NM_001135700	YWHAZ
NM_001284358	BOLL
NM_000942	PPIB
NM_198183	UBE2L6
NM_001099668	HIGD1A
NM_144690	ZNF582
NM_001300823	PRDM5
NM_001312920	MSANTD2
NM_001321944	FGF14
NM_001033030	FAIM
NM_031939	MRO
NM_007029	STMN2
NM_001025235	TSPAN4
NM_001174156	SAMD8
NM_014571	HEYL
NM_001282723	LDAH
NM_001323580	IFT52
NM_033405	HELZ2
NM_003743	NCOA1
NM_001145998	SLC15A2
NM_000435	NOTCH3
NM_153619	SEMA6D
NM_001040453	MINDY2
NM_001204883	RAB43
NM_001286055	CNN3
NM_001324394	HMBOX1
NM_001317898	PSIP1
NM_017787	WBP1L
NM_001037335	HELZ2
NM_144726	RNF145
NM_001281294	ZNF281
NM_015535	SPATS2L
NM_001286174	C2CD5
NM_052928	SMYD4
NM_001204388	DLG1
NM_032826	SLC35B4
NM_001040666	STEAP2
NM_020830	WDFY1
NM_020782	KLHL42
NM_001287431	ARFIP1
NM_001320745	EVA1C
NM_005401	PTPN14
NM_001267552	PEMT
NM_183060	CREM
NM_001322904	SNAP25
NM_001199756	PPP2R5A
NM_001164179	ENTPD1
NM_152924	ABHD2
NM_001166109	PALLD
NM_198996	LIPI
NM_001304725	GIPC2
NM_001081976	TMIGD3
NM_020389	TRPC7
NM_005213	CSTA
NM_058187	EVA1C
NM_001194954	MATR3
NM_001142931	API5
NM_001006641	SLC25A25
NM_001320744	EVA1C
NM_001324388	HMBOX1
NM_153616	SEMA6D
NM_001320597	DDX5
NM_174921	SMIM14
NM_001012508	SPRN
NM_013336	SEC61A1
NM_022557	GH2
NM_004926	ZFP36L1
NM_001190720	IKBKB
NM_001358	DHX15
NM_152441	FBXL14
NM_004148	NINJ1
NM_001080437	SNED1
NM_014994	MAPKBP1
NM_017612	ZCCHC8
NM_001261832	ASH2L
NM_145799	SEPTIN6
NM_001286056	CNN3
NM_001317897	SMIM14
NM_001008491	SEPTIN2
NM_033030	BOLL
NM_025235	TNKS2
NM_014044	UNC50
NM_001202518	CFLAR
NM_001289139	C14orf132
NM_001283043	RALGAPA1
NM_001252507	C14orf132
NM_001321033	SEPTIN2
NM_001286807	SLC25A30
NM_182723	CREM
NM_001199219	INMT
NM_001690	ATP6V1A
NM_198704	HSD11B1L
NM_001324386	HMBOX1
NM_001145638	GPSM1
NM_004396	DDX5
NM_001318205	VTI1A
NM_001204963	PBX1
NM_020810	TRMT5
NM_001204265	NR3C1
NM_021809	TGIF2
NM_007085	FSTL1
NM_020204	LHX9
NM_001286635	C6orf89
NM_001278686	TGIF1
NM_001270881	GNPDA2
NM_001321309	MYLK
NM_003222	TFAP2C
NM_001161407	NDFIP2
NM_001077619	UBXN2B
NM_001142702	DLG2
NM_003490	SYN3
NM_020859	SHROOM3
NM_001100424	SPATS2L
NM_152989	SOX5
NM_001007595	C2CD4B
NM_198883	MTX1
NM_001321084	HACE1
NM_024759	NIPAL2
NM_004087	DLG1
NM_001312921	MSANTD2
NM_021973	HAND2
NM_002930	RIT2
NM_001142541	SLC35B3
NM_020858	SEMA6D
NM_018147	FAIM
NM_022068	PIEZO2
NM_001306130	FN1
NM_031284	ADPGK
NM_001290215	CTBP2
NM_001006642	SLC25A25
NM_182966	NEDD9
NM_016291	IP6K2
NM_001001709	C9orf170
NM_001320421	TTC7B
NM_001282724	LDAH
NM_001286149	BPNT1
NM_001282972	SEPTIN2
NM_145257	CCSAP
NM_001320703	TTC3
NM_001204387	DLG1
NM_001288587	FAM83A
NM_173664	ARL10
NM_005996	TBX3
NM_001365	DLG4
NM_001136195	TNPO2
NM_024792	FAM57A
NM_001324393	HMBOX1
NM_001199463	PDCD2
NM_001128827	DLG4
NM_001286173	C2CD5
NM_001282640	SUSD1
NM_004039	ANXA2
NM_032177	PHAX
NM_018124	RFWD3
NM_001099669	HIGD1A
NM_000962	PTGS1
NM_001080430	TOX3
NM_201569	SMG7
NM_015326	SRGAP2
NM_001003398	BICD1
NM_005832	KCNMB2
NM_001123168	FAM72A
NM_001267868	HSD11B1L
NM_001135699	YWHAZ
NM_001278636	EBPL
NM_001202515	CFLAR
NM_001302680	TMIGD3
NM_015995	KLF13
NM_001204884	RAB43
NM_145206	VTI1A
NM_004404	SEPTIN2
NM_144568	PIP4P1
NM_183075	CYP2U1
NM_001122955	BSCL2
NM_024828	CAAP1
NM_022127	SLC28A3
NM_001195156	TMEM35B
NM_001282721	LDAH
NM_001303458	IFT52
NM_016395	HACD3
NM_170695	TGIF1
NM_178470	DCAF12L1
NM_020398	EPPIN
NM_053032	MYLK
NM_001282720	LDAH
NM_001270895	TRAPPC3
NM_001127175	MRO
NM_001286177	C2CD5
NM_001202519	CFLAR
NM_001918	DBT
NM_001292048	RAB5A
NM_001308031	FER
NM_001164182	ENTPD1
NM_033240	PML
NM_183078	RNF8
NM_012395	CDK14
NM_174887	IFT20
NM_001321032	SEPTIN2
NM_001205120	ATG13
NM_001042422	SLC16A3
NM_001267563	CREM
NM_001324383	HMBOX1
NM_015840	ADAR
NM_001114171	FOSB
NM_152375	KLHDC7A
NM_001261414	SOX5
NM_001025076	CELF2
NM_138335	GNPDA2
NM_001282902	TRPS1
NM_001201362	HMGN3
NM_017666	ZNF280C
NM_001127174	MRO
NM_020899	ZBTB4
NM_133448	TMEM132D
NM_001243532	PDIK1L
NM_080591	PTGS1
NM_006521	TFE3
NM_000507	FBP1
NM_145798	OSBPL7
NM_006940	SOX5
NM_001322971	OAT
NM_001206946	PICALM
NM_001002858	ANXA2
NM_005329	HAS3
NM_001321945	FGF14
NM_001321636	NIPAL2
NM_182718	CREM
NM_181458	PAX3
NM_001029883	PCARE
NM_001010934	HGF
NM_014220	TM4SF1
NM_001025593	ARFIP1
NM_001321077	DLG4
NM_001278199	SNX2
NM_212474	FN1
NM_001271608	LASP1
NM_020820	PREX1
NM_001083913	WBP1L
NM_005324	H3F3B
NM_001097640	FUT3
NM_004579	MAP4K2
NM_001318888	HMGN3
NM_001104629	C4orf19
NM_001321076	DLG4
NM_032427	MAML2
NM_001032731	OAS2
NM_001286176	C2CD5
NM_006887	ZFP36L2
NM_014507	MCAT
NM_014820	TOMM70
NM_001161520	COG5
NM_003100	SNX2
NM_133633	SYN3
NM_001321083	HACE1
NM_001321936	FGF14
NM_198321	GALNT10
NM_001042724	NECTIN2
NM_001204885	RAB43
NM_001322966	OAT
NM_001286806	SLC25A30
NM_002082	GRK6
NM_031286	SH3BGRL3
NM_001286636	C6orf89
NM_172373	ELF1
NM_001243747	API5
NM_006561	CELF2
NM_001314014	POGK
NM_182724	CREM
NM_001025077	CELF2
NM_006148	LASP1
NM_004674	ASH2L
NM_001039763	TMEM232
NM_153689	C2orf69
NM_001655	ARCN1
NM_024738	C12orf49
NM_022644	CSH2
NM_001012991	KNOP1
NM_001080744	DGKG
NM_001146266	GPR85
NM_022901	LRRC19
NM_004223	UBE2L6
NM_006595	API5
NM_053027	MYLK
NM_053024	PFN2
NM_001261835	TSPOAP1
NM_001033032	FAIM
NM_145888	KLK10
NM_001271696	ABCB7
NM_001320415	MAX
NM_001302998	LIPI
NM_001130679	EIF4E
NM_197970	BOLL
NM_001284362	BOLL
NM_001300858	DENND1B
NM_001318746	RTN4IP1
NM_001194955	MATR3
NM_001282587	H6PD
NM_001145353	ELF1
NM_015265	SATB2
NM_000599	IGFBP5
NM_001320729	ZBTB21
NM_001329	CTBP2
NM_001282744	SPATS2L
NM_173163	NFATC3
NM_001010915	HACD4
NM_001321946	FGF14
NM_001267562	CREM
NM_007172	NUP50
NM_001178000	PIKFYVE
NM_152667	NANP
NM_001265611	MAPKBP1
NM_001318918	GLIS2
NM_001282715	OLFML2A
NM_001099771	POTEF
NM_001324391	HMBOX1
NM_004859	CLTC
NM_001146686	GMNC
NM_001127176	MRO
NM_033515	ARHGAP18
NM_024631	MSANTD2
NM_182719	CREM
NM_001303248	WDR61
NM_001195296	MIPOL1
NM_004986	KTN1
NM_001270894	TRAPPC3
NM_005370	RAB8A
NM_006698	BLCAP
NM_001146220	ZNF226
NM_001031847	CPT1A
NM_006774	INMT
NM_005246	FER
NM_207006	FAM83A
NM_031990	PTBP1
NM_017542	POGK
NM_001321635	NIPAL2
NM_015372	C22orf24
NM_001256071	RNF213
NM_001242815	C2orf91
NM_175078	KRT77
NM_001040450	MINDY2
NM_001097641	FUT3
NM_001164181	ENTPD1
NM_001306129	FN1
NM_001199383	RNF145
NM_003406	YWHAZ
NM_001270375	MMD2
NM_001282722	LDAH
NM_001104647	SLC25A36
NM_153618	SEMA6D
NM_001005609	EDA
NM_001317915	RAB3C
NM_001412	EIF1AX
NM_001280547	PAX5
NM_175929	FGF14
NM_198721	COL25A1
NM_001289010	MAN1C1
NM_001142305	ZNF771
NM_198471	KANK3
NM_016004	IFT52
NM_001257281	DIS3L2
NM_002500	NEUROD1
NM_001288653	CLTC
NM_001146312	MYOCD
NM_001135701	YWHAZ
NM_001303001	LIPI
NM_001136015	ANXA2
NM_001321938	FGF14
NM_001007559	SS18
NM_001206947	PICALM
NM_001190995	IPO8
NM_001017995	SH3PXD2B
NM_198707	HSD11B1L
NM_024503	HIVEP3
NM_001013699	H3F3C
NM_015841	ADAR
NM_020879	CCDC146
NM_001320595	DDX5
NM_212482	FN1
NM_001323005	AFG1L
NM_001042351	G6PD
NM_001321883	HACD4
NM_018970	GPR85
NM_198403	MMD2
NM_022111	CLSPN
NM_001199492	PDCD4
NM_001193495	ADAR
NM_033632	FBXW7
NM_001322910	SNAP25
NM_001322967	OAT
NM_020379	MAN1C1
NM_002424	MMP8
NM_001172517	SATB2
NM_018327	SPTLC3
NM_032899	FAM83A
NM_001100619	CABLES1
NM_032221	CHD6
NM_032667	BSCL2
NM_001163423	ZNF580
NM_001244701	ZFP36L1
NM_001058	TACR1
NM_001160154	MGAT4A
NM_001145056	SLC44A2
NM_001010875	SLC25A30
NM_152414	BHLHE22
NM_144994	ANKRD23
NM_053025	MYLK
NM_001167576	TRPC7
NM_018302	C4orf19
NM_030579	CYB5B
NM_001204886	RAB43
NM_001291963	DAP
NM_001146265	GPR85
NM_004975	KCNB1
NM_021648	TSPYL4
NM_001039396	MPEG1
NM_001286210	STX6
NM_001323581	IFT52
NM_015171	XPO6
NM_006390	IPO8
NM_178313	SPTBN1
NM_007028	TRIM31
NM_080725	SRXN1
NM_014918	CHSY1
NM_001168214	C3orf80
NM_022474	MPP5
NM_001025236	TSPAN4
NM_006841	SLC38A3
NM_001304478	FGF17
NM_000808	GABRA3
NM_002776	KLK10
NM_001258028	TKT
NM_000588	IL3
NM_022075	CERS2
NM_001318006	FAM57A
NM_001321931	FGF14
NM_014141	CNTNAP2
NM_001968	EIF4E
NM_006826	YWHAQ
NM_182705	RFLNB
NM_001142673	ATG13
NM_001008492	SEPTIN2
NM_001322905	SNAP25
NM_002819	PTBP1
NM_198833	SERPINB8
NM_001287385	FAM72C
NM_001199104	NT5C1B-RDH14
NM_003244	TGIF1
NM_006454	MXD4
NM_012120	CD2AP
NM_014951	ZNF365
NM_199189	MATR3
NM_001276713	ANKDD1B
NM_130811	SNAP25
NM_001104554	PAQR5
NM_001243372	CLCN3
NM_152376	UBXN10
NM_001286242	GTF3C1
NM_001321029	SEPTIN2
NM_016643	ZNF771
NM_024567	HMBOX1
NM_001286050	FAM168A
NM_152390	TMEM178A
NM_001261415	SOX5
NM_024408	NOTCH2
NM_145730	AP1B1
NM_003564	TAGLN2
NM_032565	EBPL
